         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.058    0.058 managers.py:2121(create_block_manager_from_column_arrays)
        1    0.000    0.000    0.058    0.058 axes3d.py:1(<module>)
       98    0.000    0.000    0.057    0.001 dataclasses.py:1174(wrap)
       98    0.005    0.000    0.057    0.001 dataclasses.py:881(_process_class)
        2    0.000    0.000    0.057    0.028 patches.py:1(<module>)
        1    0.000    0.000    0.056    0.056 cache_data_api.py:1(<module>)
     1335    0.002    0.000    0.055    0.000 abc.py:105(__new__)
      366    0.008    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       75    0.001    0.000    0.055    0.001 _set_output.py:354(__init_subclass__)
     7977    0.025    0.000    0.055    0.000 {built-in method __new__ of type object at 0x00007FF96190C920}
        1    0.000    0.000    0.054    0.054 _joblib.py:1(<module>)
        1    0.000    0.000    0.053    0.053 crackfortran.py:1(<module>)
       16    0.000    0.000    0.053    0.003 linecache.py:36(getlines)
        9    0.000    0.000    0.053    0.006 linecache.py:80(updatecache)
        1    0.000    0.000    0.052    0.052 crashhandler.py:1(<module>)
      534    0.052    0.000    0.052    0.000 traitlets.py:458(subclass_init)
300446/300402    0.042    0.000    0.051    0.000 {built-in method builtins.isinstance}
       52    0.000    0.000    0.051    0.001 _docscrape.py:562(__init__)
        1    0.000    0.000    0.050    0.050 ultratb.py:1(<module>)
 3736/522    0.021    0.000    0.050    0.000 sre_compile.py:87(_compile)
        2    0.000    0.000    0.050    0.025 array.py:1(<module>)
494711/490289    0.048    0.000    0.049    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.049    0.016 builtins.py:1(<module>)
        7    0.000    0.000    0.049    0.007 context.py:1(<module>)
        9    0.000    0.000    0.049    0.005 tokenize.py:390(open)
     2619    0.045    0.000    0.049    0.000 inspect.py:612(unwrap)
      218    0.016    0.000    0.049    0.000 artist.py:1519(get_setters)
        1    0.000    0.000    0.048    0.048 fs.py:1(<module>)
        1    0.000    0.000    0.048    0.048 classes.py:1(<module>)
     5853    0.004    0.000    0.048    0.000 re.py:197(search)
        1    0.000    0.000    0.048    0.048 _gpu_tree.py:1(<module>)
     1473    0.007    0.000    0.048    0.000 typing.py:1016(__init__)
     3056    0.003    0.000    0.047    0.000 ntpath.py:563(abspath)
     1202    0.001    0.000    0.047    0.000 textwrap.py:344(_split_chunks)
        1    0.000    0.000    0.047    0.047 _tree.py:1(<module>)
     4318    0.004    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        2    0.000    0.000    0.046    0.023 __config__.py:1(<module>)
  880/668    0.001    0.000    0.046    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.046    0.046 special.py:1(<module>)
     3340    0.004    0.000    0.045    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.045    0.045 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.045    0.045 cache_utils.py:1(<module>)
        9    0.000    0.000    0.045    0.005 _base.py:732(__init_subclass__)
       52    0.000    0.000    0.044    0.001 _docscrape.py:140(__init__)
